,category_id,coin_id,vltlty_rank_rscld,volumes_rank_rscld,stblty_index
0,layer-1,algorand,0.6599999999999999,0.33999999999999997,5.51
1,layer-1,binancecoin,0.3,0.7,4.36
2,layer-1,bitcoin,0.0,1.0,3.4
3,layer-1,bitcoin-cash,0.18,0.72,3.64
4,layer-1,cardano,0.78,0.6799999999999999,7.46
5,layer-1,cosmos,0.4,0.48,4.27
6,layer-1,crypto-com-chain,0.8400000000000001,0.12000000000000002,5.95
7,layer-1,ethereum,0.12000000000000002,0.9,3.85
8,layer-1,fantom,0.74,0.24000000000000005,5.7
9,layer-1,hedera-hashgraph,0.96,0.06000000000000001,6.54
10,layer-1,tezos,0.52,0.26,4.32
11,stablecoins,bilira,0.37777777777777777,0.02222222222222222,2.57
12,stablecoins,binance-usd,0.7333333333333333,0.7333333333333333,7.33
13,stablecoins,dai,0.6222222222222221,0.5111111111111111,5.84
14,stablecoins,gemini-dollar,0.3333333333333333,0.26666666666666666,3.11
15,stablecoins,pax-gold,0.0,0.3333333333333333,1.13
16,stablecoins,paxos-standard,0.5777777777777777,0.5333333333333333,5.63
17,stablecoins,stasis-eurs,0.11111111111111112,0.13333333333333333,1.19
18,stablecoins,tether,0.9111111111111111,1.0,9.41
19,stablecoins,true-usd,0.6444444444444445,0.6666666666666666,6.52
20,stablecoins,usd-coin,0.6888888888888889,0.8,7.27
